=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.03 09:08:06 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.26 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.10 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.06
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.10 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.06
 
0.27 0.10 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.26 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.26 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.04
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.06
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.26 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.06
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.10 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.26 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.26 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.04
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.12 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.10 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.04
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.10 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.10 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.12 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.06
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.28 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
0.27 0.11 0.05
 
