=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.28 13:55:57 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.42
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.37 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.37 0.41
 
0.86 0.38 0.41
 
0.86 0.37 0.41
 
0.86 0.38 0.41
 
0.86 0.37 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.37 0.41
 
0.86 0.37 0.41
 
0.86 0.37 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.42
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.42
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.37 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.42
 
0.86 0.38 0.41
 
0.85 0.37 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.85 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.38 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.85 0.39 0.41
 
0.85 0.39 0.41
 
0.85 0.38 0.41
 
0.85 0.38 0.41
 
0.85 0.38 0.41
 
0.85 0.38 0.41
 
0.86 0.38 0.41
 
0.85 0.38 0.41
 
0.86 0.38 0.41
 
0.85 0.38 0.41
 
