=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.30 16:06:23 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
 
0.07 0.14 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.14 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.05
 
0.08 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.14 0.06
 
0.08 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.14 0.06
 
0.08 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.14 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.08 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.14 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.14 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.08 0.13 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
0.07 0.13 0.05
 
0.07 0.14 0.05
 
0.07 0.13 0.06
 
0.07 0.13 0.06
 
